Date/Time,Electricity:Facility [J](TimeStep)
 07/13  15:40:00,1305261.161
 07/13  15:45:00,1315329.5
 07/13  15:50:00,1325292.094
 07/13  15:55:00,1335037.186
 07/13  16:00:00,1344511.013
 07/13  16:05:00,1435057.78
 07/13  16:10:00,1423861.292
 07/13  16:15:00,1421671.42
 07/13  16:20:00,1419487.194
 07/13  16:25:00,1417308.641
 07/13  16:30:00,1415135.792
 07/13  16:35:00,1412968.675
 07/13  16:40:00,1410807.319
 07/13  16:45:00,1408651.755
 07/13  16:50:00,1406502.009
 07/13  16:55:00,1404358.113
 07/13  17:00:00,1402220.094
 07/13  17:05:00,1398361.258
 07/13  17:10:00,1390904.326
 07/13  17:15:00,1383524.19
 07/13  17:20:00,1376222.114
 07/13  17:25:00,1368999.352
 07/13  17:30:00,1361857.147
 07/13  17:35:00,1354796.735
 07/13  17:40:00,1611413.582
 07/13  17:45:00,1736572.131
 07/13  17:50:00,1729764.42
 07/13  17:55:00,1723043.353
 07/13  18:00:00,1716410.12
 07/13  18:05:00,1718358.049
 07/13  18:10:00,1715677.47
 07/13  18:15:00,1659722.864
 07/13  18:20:00,1314715.881
 07/13  18:25:00,1312080.976
 07/13  18:30:00,1309461.457
 07/13  18:35:00,1306857.402
 07/13  18:40:00,1304268.893
 07/13  18:45:00,1301696.007
 07/13  18:50:00,1299138.825
 07/13  18:55:00,1296597.425
 07/13  19:00:00,1777352.998
 07/13  19:05:00,1714176.845
 07/13  19:10:00,1886470.632
 07/13  19:15:00,1928915.707
 07/13  19:20:00,1704019.943
 07/13  19:25:00,1925129.812
 07/13  19:30:00,1921836.929
 07/13  19:35:00,1694141.493
 07/13  19:40:00,1690911.481
 07/13  19:45:00,1687713.2
 07/13  19:50:00,1684546.845
 07/13  19:55:00,1681412.61
 07/13  20:00:00,1678310.689
 07/13  20:05:00,1701119.53
 07/13  20:10:00,1697271.72
 07/13  20:15:00,1693477.353
 07/13  20:20:00,1689736.82
 07/13  20:25:00,1686050.507
 07/13  20:30:00,1682418.801
 07/13  20:35:00,1678842.085
 07/13  20:40:00,1675320.739
 07/13  20:45:00,1671855.142
 07/13  20:50:00,1668445.669
 07/13  20:55:00,1665092.693
 07/13  21:00:00,1661796.586
 07/13  21:05:00,568014.5962
 07/13  21:10:00,275247.5673
 07/13  21:15:00,339681.443
 07/13  21:20:00,785918.859
 07/13  21:25:00,861792.5237
 07/13  21:30:00,889510.2016
 07/13  21:35:00,887215.3585
 07/13  21:40:00,898298.2743
 07/13  21:45:00,898395.72
 07/13  21:50:00,901549.6398
 07/13  21:55:00,905148.8101
 07/13  22:00:00,911154.3071
 07/13  22:05:00,799371.0746
 07/13  22:10:00,505935.0629
 07/13  22:15:00,394006.0825
 07/13  22:20:00,391313.1382
 07/13  22:25:00,388667.0956
 07/13  22:30:00,385894.8455
 07/13  22:35:00,382973.5881
 07/13  22:40:00,379886.0599
 07/13  22:45:00,376650.37
 07/13  22:50:00,373262.2416
 07/13  22:55:00,369733.8508
 07/13  23:00:00,366046.654
 07/13  23:05:00,306415.5653
