Date/Time,Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep),Gas:Facility [J](Daily),Electricity:Facility [J](Daily) 
 07/13  00:05:00,271114.0497937097,2901.1405503252715 
 07/13  00:10:00,264461.8153975466,2901.1405503252715 
 07/13  00:15:00,259291.15704661466,2901.1405503252715 
 07/13  00:20:00,254696.91463776169,2901.1405503252715 
 07/13  00:25:00,250400.18871322979,2901.1405503252715 
 07/13  00:30:00,246296.54635013594,2901.1405503252715 
 07/13  00:35:00,242330.5664483598,2901.1405503252715 
 07/13  00:40:00,238472.062534147,2901.1405503252715 
 07/13  00:45:00,234708.2851314778,2901.1405503252715 
 07/13  00:50:00,231053.43166025685,2901.1405503252715 
 07/13  00:55:00,227469.5814396253,2901.1405503252715 
 07/13  01:00:00,223958.3833147783,2901.1405503252715 
 07/13  01:05:00,209289.34400256095,2467.006449290023 
 07/13  01:10:00,204815.42188340549,2467.006449290023 
 07/13  01:15:00,200560.14499477336,2467.006449290023 
 07/13  01:20:00,196432.32559429937,2467.006449290023 
 07/13  01:25:00,192393.69141846157,2467.006449290023 
 07/13  01:30:00,188438.79146747519,2467.006449290023 
 07/13  01:35:00,184560.61399294699,2467.006449290023 
 07/13  01:40:00,180752.9135086894,2467.006449290023 
 07/13  01:45:00,177012.12589864475,2467.006449290023 
 07/13  01:50:00,173337.38246337864,2467.006449290023 
 07/13  01:55:00,169729.59644140688,2467.006449290023 
 07/13  02:00:00,166191.83583804963,2467.006449290023 
 07/13  02:05:00,160636.056776525,2534.6515561097428 
 07/13  02:10:00,156694.42948574233,2534.6515561097428 
 07/13  02:15:00,152682.54799275084,2534.6515561097428 
 07/13  02:20:00,148741.81643363089,2534.6515561097428 
 07/13  02:25:00,144781.2418041942,2534.6515561097428 
 07/13  02:30:00,140824.5462934713,2534.6515561097428 
 07/13  02:35:00,136865.05523031724,2534.6515561097428 
 07/13  02:40:00,132907.97160617173,2534.6515561097428 
 07/13  02:45:00,128941.8357765041,2534.6515561097428 
 07/13  02:50:00,125007.99866081831,2534.6515561097428 
 07/13  02:55:00,121142.63716688642,2534.6515561097428 
 07/13  03:00:00,117240.13993355437,2534.6515561097428 
 07/13  03:05:00,114026.71467945002,3858.2928118777824 
 07/13  03:10:00,110530.53609213121,3858.2928118777824 
 07/13  03:15:00,107096.31158785858,3858.2928118777824 
 07/13  03:20:00,103722.35285266565,3858.2928118777824 
 07/13  03:25:00,99531.57538283289,3858.2928118777824 
 07/13  03:30:00,99531.57538283289,3858.2928118777824 
 07/13  03:35:00,99531.57538283289,3858.2928118777824 
 07/13  03:40:00,99531.57538283289,3858.2928118777824 
 07/13  03:45:00,99531.57538283289,3858.2928118777824 
 07/13  03:50:00,99531.57538283289,3858.2928118777824 
 07/13  03:55:00,99531.57538283289,3858.2928118777824 
 07/13  04:00:00,99531.57538283289,3858.2928118777824 
 07/13  04:05:00,130494.48943119642,5686.401053688722 
 07/13  04:10:00,130494.48943119642,5686.401053688722 
 07/13  04:15:00,130494.48943119642,5686.401053688722 
 07/13  04:20:00,130494.48943119642,5686.401053688722 
 07/13  04:25:00,130494.48943119642,5686.401053688722 
 07/13  04:30:00,130494.48943119642,5686.401053688722 
 07/13  04:35:00,130494.48943119642,5686.401053688722 
 07/13  04:40:00,130494.48943119642,5686.401053688722 
 07/13  04:45:00,130494.48943119642,5686.401053688722 
 07/13  04:50:00,130494.48943119642,5686.401053688722 
 07/13  04:55:00,130494.48943119642,5686.401053688722 
 07/13  05:00:00,130494.48943119642,5686.401053688722 
 07/13  05:05:00,194219.89970509456,7656.646531875438 
 07/13  05:10:00,194219.89970509456,7656.646531875438 
 07/13  05:15:00,194219.89970509456,7656.646531875438 
 07/13  05:20:00,199298.28157119594,7656.646531875438 
 07/13  05:25:00,234206.69374847786,7656.646531875438 
 07/13  05:30:00,233365.32079043715,7656.646531875438 
 07/13  05:35:00,245874.99372042219,7656.646531875438 
 07/13  05:40:00,257218.1438669322,7656.646531875438 
 07/13  05:45:00,268533.35954548747,7656.646531875438 
 07/13  05:50:00,280364.57027529479,7656.646531875438 
 07/13  05:55:00,291709.2695073628,7656.646531875438 
 07/13  06:00:00,303748.27610062409,7656.646531875438 
 07/13  06:05:00,1110307.565579478,9614.853333304089 
 07/13  06:10:00,1113639.8136543928,9614.853333304089 
 07/13  06:15:00,1117092.5806448144,9614.853333304089 
 07/13  06:20:00,1117244.407774731,9614.853333304089 
 07/13  06:25:00,1098063.7936337619,9614.853333304089 
 07/13  06:30:00,1065423.7525285823,9614.853333304089 
 07/13  06:35:00,1056911.3554209944,9614.853333304089 
 07/13  06:40:00,1047448.4477819394,9614.853333304089 
 07/13  06:45:00,1043365.7363374769,9614.853333304089 
 07/13  06:50:00,1042736.7793697099,9614.853333304089 
 07/13  06:55:00,1044138.0148267443,9614.853333304089 
 07/13  07:00:00,1046927.9469603623,9614.853333304089 
 07/13  07:05:00,1035790.1519896735,14488.823963746978 
 07/13  07:10:00,1036489.6195390746,14488.823963746978 
 07/13  07:15:00,1039650.1660209366,14488.823963746978 
 07/13  07:20:00,1043599.7964369148,14488.823963746978 
 07/13  07:25:00,1048016.8572982568,14488.823963746978 
 07/13  07:30:00,1052862.3465930015,14488.823963746978 
 07/13  07:35:00,1324022.1215779228,14488.823963746978 
 07/13  07:40:00,1458860.8491237956,14488.823963746978 
 07/13  07:45:00,1464451.968149189,14488.823963746978 
 07/13  07:50:00,1470344.5695496125,14488.823963746978 
 07/13  07:55:00,1476547.9037514975,14488.823963746978 
